City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Celestun,MX,77.25,overcast clouds,20.87,-90.4,Posada Lilia
2,Maragogi,BR,71.44,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
6,Ribeira Grande,PT,73.02,clear sky,38.52,-28.7,Quinta da Meia Eira
9,Beidao,CN,76.62,clear sky,34.57,105.89,Shell Tianshui Maiji District Erma Road Walking Street Hotel
10,San Quintin,MX,74.91,clear sky,30.48,-115.95,Old Mill Hotel
16,Saint-Pierre,RE,72.0,few clouds,-21.34,55.48,Lindsey Hôtel
17,Barcelona,ES,77.0,broken clouds,41.39,2.16,Axel Hotel Barcelona
18,Gat,IL,77.0,clear sky,31.61,34.76,רגע בנחת
20,Rikitea,PF,71.49,light rain,-23.12,-134.97,Pension Maro'i
21,Vaitape,PF,78.01,few clouds,-16.52,-151.75,Conrad Bora Bora Nui
29,Khatanga,RU,67.51,overcast clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
34,Bethel,US,71.6,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
40,Bowen,AU,75.99,clear sky,-20.02,148.23,Castle Motor Lodge Motel
44,Monrovia,LR,76.39,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
49,Ponta Do Sol,PT,75.2,few clouds,32.67,-17.1,Hotel do Campo
56,Jamestown,US,68.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
57,Greenville,US,73.99,clear sky,35.61,-77.37,Holiday Inn Express Greenville
58,Puerto Ayora,EC,66.0,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
65,Upata,VE,75.99,light rain,8.01,-62.4,Posada Villa Nela
69,Atuona,PF,78.3,clear sky,-9.8,-139.03,Villa Enata
73,Baker City,US,71.6,clear sky,44.77,-117.83,Bridge Street Inn
81,Xichang,CN,66.6,moderate rain,27.9,102.26,Xichang ibis Hotel
85,Mossendjo,CG,67.69,overcast clouds,-2.95,12.73,HOTEL D'ASSISE
87,Mahajanga,MG,69.8,broken clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
89,Caravelas,BR,69.22,light rain,-17.71,-39.25,Pousada dos Navegantes
91,Sao Filipe,CV,79.32,overcast clouds,14.9,-24.5,Tortuga B&B
92,Kandi,BJ,71.8,light rain,11.13,2.94,Maison des producteurs kandi
99,Arraial Do Cabo,BR,67.05,clear sky,-22.97,-42.03,Pousada Porto Praia
107,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
112,Nianzishan,CN,77.2,scattered clouds,47.52,122.88,Wenhua Hotel
113,Mehran,IR,71.6,clear sky,33.12,46.16,بوتیک زنانه بهار
119,Aktau,KZ,68.0,broken clouds,43.65,51.2,Silk Way Hotel
120,Ewo,CG,73.99,overcast clouds,-0.87,14.82,Residence Elonda Ewo
126,Codajas,BR,74.1,clear sky,-3.84,-62.06,Hotel Tamires
130,Banikoara,BJ,72.18,light rain,11.3,2.44,Hôtel de l'UCom CVPC
131,Buchanan,LR,75.87,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
134,Iztapa,GT,77.61,light rain,13.93,-90.71,Jody And Monte Marina
138,Portland,US,73.99,few clouds,45.52,-122.68,Portland Marriott City Center
140,Saint-Philippe,RE,72.0,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
141,Avarua,CK,73.4,clear sky,-21.21,-159.78,Paradise Inn
144,Half Moon Bay,US,68.0,overcast clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
151,Sinnamary,GF,78.58,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
152,Hobyo,SO,76.51,overcast clouds,5.35,48.53,Osmani Hotel
153,Port Macquarie,AU,68.0,clear sky,-31.43,152.92,Rydges Port Macquarie
154,Bathsheba,BB,77.0,broken clouds,13.22,-59.52,Atlantis Hotel
155,Palmer,US,66.99,light rain,42.16,-72.33,Wedgewood Motel
156,Luanda,AO,69.8,few clouds,-8.84,13.23,EPIC SANA Luanda
158,Airai,TL,76.66,clear sky,-8.93,125.41,Juvinal Martin
161,Sioux Lookout,CA,69.8,broken clouds,50.1,-91.92,Knobby's Fly-In Camps
167,Hamilton,US,73.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
169,Tazmalt,DZ,77.0,scattered clouds,36.39,4.4,Hôtel Numédia
170,Fasa,IR,78.8,few clouds,28.94,53.65,Fasa University Boys' Dormitory
174,Kavieng,PG,76.6,light rain,-2.57,150.8,Nusa Island Retreat
175,Saint George,US,71.01,thunderstorm with heavy rain,37.1,-113.58,Best Western Plus Abbey Inn
178,Lagoa,PT,72.77,clear sky,39.05,-27.98,Casa Das Faias
182,Houma,US,78.01,clear sky,29.6,-90.72,Courtyard by Marriott Houma
183,Shiyan,CN,78.8,overcast clouds,32.65,110.78,Karen International Hotel
185,Berea,US,75.99,few clouds,41.37,-81.85,Comfort Inn Cleveland Airport
