City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Celestun,MX,20.87,-90.4,77.25,85,100,1.41,overcast clouds
1,Turan,VN,16.07,108.22,95.0,50,40,2.24,scattered clouds
2,Maragogi,BR,-9.01,-35.22,71.44,82,100,3.31,overcast clouds
3,Ishigaki,JP,24.34,124.16,87.8,84,75,18.34,broken clouds
4,Albany,US,42.6,-73.97,69.01,91,54,1.39,light rain
5,Butaritari,KI,3.07,172.79,82.69,76,99,12.46,light rain
6,Ribeira Grande,PT,38.52,-28.7,73.02,89,2,14.07,clear sky
7,Augustow,PL,53.84,22.98,55.87,91,3,4.68,clear sky
8,Bredasdorp,ZA,-34.53,20.04,55.4,93,100,3.36,overcast clouds
9,Beidao,CN,34.57,105.89,76.62,50,0,2.01,clear sky
10,San Quintin,MX,30.48,-115.95,74.91,73,0,10.42,clear sky
11,Hermanus,ZA,-34.42,19.23,53.01,89,100,5.01,overcast clouds
12,Cherskiy,RU,68.75,161.3,39.4,92,100,8.28,light rain
13,Husavik,IS,66.04,-17.34,37.4,93,100,4.7,overcast clouds
14,Buraydah,SA,26.33,43.98,86.0,33,0,5.82,clear sky
15,Rocha,UY,-34.48,-54.33,51.24,89,0,11.21,clear sky
16,Saint-Pierre,RE,-21.34,55.48,72.0,49,18,8.05,few clouds
17,Barcelona,ES,41.39,2.16,77.0,83,75,5.82,broken clouds
18,Gat,IL,31.61,34.76,77.0,29,0,1.74,clear sky
19,Mar Del Plata,AR,-38.0,-57.56,51.01,87,34,11.41,scattered clouds
20,Rikitea,PF,-23.12,-134.97,71.49,83,9,18.07,light rain
21,Vaitape,PF,-16.52,-151.75,78.01,78,13,20.87,few clouds
22,Busselton,AU,-33.65,115.33,61.0,67,4,1.99,clear sky
23,Sandwick,GB,60.0,-1.25,48.2,76,57,10.29,light rain
24,Tubuala,PA,9.52,-79.03,78.01,94,40,3.36,scattered clouds
25,Den Helder,NL,52.96,4.76,60.8,87,90,8.05,light rain
26,Chuy,UY,-33.7,-53.46,53.76,90,0,11.43,clear sky
27,Tiksi,RU,71.69,128.87,41.02,70,84,13.27,broken clouds
28,Kamaishi,JP,39.27,141.88,87.8,58,40,8.05,scattered clouds
29,Khatanga,RU,71.97,102.5,67.51,46,96,14.5,overcast clouds
30,Clyde River,CA,70.47,-68.59,41.61,91,100,4.54,light rain
31,Kon Tum,VN,14.35,108.0,83.46,66,92,5.75,overcast clouds
32,Umiray,PH,15.22,121.41,89.44,63,94,6.08,overcast clouds
33,Quelimane,MZ,-17.88,36.89,61.36,92,0,2.77,clear sky
34,Bethel,US,41.37,-73.41,71.6,94,1,1.95,clear sky
35,Tilichiki,RU,60.47,166.1,53.13,58,84,13.13,broken clouds
36,Mondlo,ZA,-27.98,30.72,48.33,45,0,5.68,clear sky
37,Grants Pass,US,42.44,-123.33,82.4,34,90,6.93,overcast clouds
38,Mataura,NZ,-46.19,168.86,55.99,79,59,8.01,light rain
39,Alice Springs,AU,-23.7,133.88,82.4,14,0,10.29,clear sky
40,Bowen,AU,-20.02,148.23,75.99,36,1,12.75,clear sky
41,Hofn,IS,64.25,-15.21,48.15,85,100,8.21,overcast clouds
42,Okakarara,NA,-20.58,17.43,49.6,51,0,2.28,clear sky
43,Punta Arenas,CL,-53.15,-70.92,33.8,69,10,14.99,clear sky
44,Monrovia,LR,6.3,-10.8,76.39,85,100,12.75,light rain
45,Ndele,CF,8.41,20.65,68.0,97,97,4.0,overcast clouds
46,Comodoro Rivadavia,AR,-45.87,-67.5,42.8,75,40,3.36,scattered clouds
47,Mercedes,AR,-34.65,-59.43,55.0,70,0,5.01,clear sky
48,Iqaluit,CA,63.75,-68.51,41.0,86,90,3.11,overcast clouds
49,Ponta Do Sol,PT,32.67,-17.1,75.2,60,20,24.16,few clouds
50,Bluff,NZ,-46.6,168.33,55.99,79,60,8.01,broken clouds
51,Cape Town,ZA,-33.93,18.42,57.99,93,40,12.75,scattered clouds
52,Ushuaia,AR,-54.8,-68.3,32.0,90,40,5.82,scattered clouds
53,Provideniya,RU,64.38,-173.3,53.6,76,75,8.95,broken clouds
54,Dingle,PH,11.0,122.67,88.3,66,6,4.45,clear sky
55,Aykhal,RU,66.0,111.5,59.0,42,0,6.71,clear sky
56,Jamestown,US,42.1,-79.24,68.0,93,1,4.7,clear sky
57,Greenville,US,35.61,-77.37,73.99,88,1,3.36,clear sky
58,Puerto Ayora,EC,-0.74,-90.35,66.0,88,23,1.99,few clouds
59,Pasni,PK,25.26,63.47,82.6,84,58,11.79,broken clouds
60,Chokurdakh,RU,70.63,147.92,38.84,74,100,10.25,overcast clouds
61,Nome,US,64.5,-165.41,53.6,81,90,8.05,overcast clouds
62,Imbituba,BR,-28.24,-48.67,57.2,100,40,2.24,scattered clouds
63,La Reforma,MX,25.08,-108.05,87.01,81,26,4.0,scattered clouds
64,Hollabrunn,AT,48.55,16.08,60.01,84,0,1.99,clear sky
65,Upata,VE,8.01,-62.4,75.99,95,100,1.99,light rain
66,Agirish,RU,61.92,63.02,56.32,74,5,6.26,clear sky
67,Foumbot,CM,5.51,10.64,64.42,96,100,1.92,moderate rain
68,Nikolskoye,RU,59.7,30.79,60.01,87,67,4.47,broken clouds
69,Atuona,PF,-9.8,-139.03,78.3,78,4,17.69,clear sky
70,Hondo,JP,32.45,130.2,91.4,63,40,12.75,scattered clouds
71,Port Alfred,ZA,-33.59,26.89,57.49,82,89,10.92,overcast clouds
72,Nhulunbuy,AU,-12.23,136.77,84.2,42,0,17.22,clear sky
73,Baker City,US,44.77,-117.83,71.6,43,1,4.7,clear sky
