City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kushima,JP,2020-08-23 03:37:43,31.46,131.23,89.6,70,40,12.75
1,Tripoli,LY,2020-08-23 03:37:43,32.88,13.19,76.73,64,0,4.65
2,Superior,US,2020-08-23 03:37:43,46.72,-92.1,64.99,100,90,5.82
3,Ushuaia,AR,2020-08-23 03:37:43,-54.8,-68.3,39.2,44,15,8.05
4,Santa Maria Del Oro,MX,2020-08-23 03:37:44,25.93,-105.37,70.59,50,81,2.66
5,Albany,US,2020-08-23 03:37:44,42.6,-73.97,73.0,71,0,2.06
6,Cherskiy,RU,2020-08-23 03:37:44,68.75,161.3,35.98,95,100,20.58
7,Boa Vista,BR,2020-08-23 03:37:44,2.82,-60.67,80.6,74,20,6.93
8,Upata,VE,2020-08-23 03:37:45,8.01,-62.4,79.0,82,37,1.01
9,Kysyl-Syr,RU,2020-08-23 03:37:45,63.9,122.76,58.51,38,0,6.69
10,Atuona,PF,2020-08-23 03:37:45,-9.8,-139.03,78.62,76,4,18.03
11,Narsaq,GL,2020-08-23 03:37:45,60.92,-46.05,42.8,81,0,4.7
12,Mahebourg,MU,2020-08-23 03:37:46,-20.41,57.7,71.6,78,75,12.75
13,Hithadhoo,MV,2020-08-23 03:34:17,-0.6,73.08,83.39,79,6,13.73
14,Pisco,PE,2020-08-23 03:37:46,-13.7,-76.22,60.8,82,90,9.17
15,East London,ZA,2020-08-23 03:37:46,-33.02,27.91,48.2,70,0,4.7
16,Tuktoyaktuk,CA,2020-08-23 03:37:46,69.45,-133.04,50.0,87,20,11.41
17,Bredasdorp,ZA,2020-08-23 03:37:47,-34.53,20.04,50.0,87,19,8.05
18,Chokurdakh,RU,2020-08-23 03:37:47,70.63,147.92,39.74,75,100,8.52
19,Bluff,NZ,2020-08-23 03:37:47,-46.6,168.33,57.0,74,89,8.99
20,Kapaa,US,2020-08-23 03:35:13,22.08,-159.32,84.2,66,90,12.75
21,Obo,CF,2020-08-23 03:37:47,5.4,26.49,66.94,99,89,4.36
22,Sao Paulo De Olivenca,BR,2020-08-23 03:37:48,-3.38,-68.87,65.75,74,66,2.1
23,Vaini,TO,2020-08-23 03:37:48,-21.2,-175.2,80.6,83,20,11.41
24,Roma,US,2020-08-23 03:37:48,43.21,-75.46,66.2,88,1,4.7
25,Kaitangata,NZ,2020-08-23 03:37:48,-46.28,169.85,52.0,85,68,15.01
26,San Rafael,AR,2020-08-23 03:37:49,-34.62,-68.33,50.25,41,0,12.73
27,Barrow,US,2020-08-23 03:35:01,71.29,-156.79,42.8,87,90,23.04
28,Saint-Philippe,RE,2020-08-23 03:37:49,-21.36,55.77,69.8,55,33,6.93
29,Yellowknife,CA,2020-08-23 03:37:49,62.46,-114.35,57.2,62,75,10.29
30,Mar Del Plata,AR,2020-08-23 03:36:02,-38.0,-57.56,50.0,61,0,9.17
31,Rikitea,PF,2020-08-23 03:37:50,-23.12,-134.97,67.21,75,100,19.3
32,Tiksi,RU,2020-08-23 03:37:50,71.69,128.87,41.72,90,100,2.86
33,Port Alfred,ZA,2020-08-23 03:37:50,-33.59,26.89,56.77,85,0,11.23
34,Tessalit,ML,2020-08-23 03:37:50,20.2,1.01,89.11,42,1,14.2
35,Kargasok,RU,2020-08-23 03:37:50,59.06,80.86,58.75,90,97,5.68
36,Mataura,NZ,2020-08-23 03:37:51,-46.19,168.86,57.0,74,91,8.99
37,Ayame,CI,2020-08-23 03:37:51,5.61,-3.16,71.96,96,51,3.04
38,Punta Arenas,CL,2020-08-23 03:37:51,-53.15,-70.92,33.8,86,0,17.22
39,Qaanaaq,GL,2020-08-23 03:37:51,77.48,-69.36,36.54,86,100,2.35
40,Hobart,AU,2020-08-23 03:33:18,-42.88,147.33,53.01,87,75,10.29
41,Busselton,AU,2020-08-23 03:37:52,-33.65,115.33,64.0,54,17,11.88
42,Avarua,CK,2020-08-23 03:37:52,-21.21,-159.78,75.2,73,2,10.29
43,Tautira,PF,2020-08-23 03:37:52,-17.73,-149.15,80.6,61,40,3.36
44,Tarko-Sale,RU,2020-08-23 03:37:52,64.92,77.78,60.01,84,0,17.25
45,Saskylakh,RU,2020-08-23 03:37:52,71.92,114.08,53.08,45,0,8.12
46,Stokmarknes,NO,2020-08-23 03:37:53,68.56,14.91,57.0,94,100,3.0
47,Novobirilyussy,RU,2020-08-23 03:37:53,56.95,90.67,64.96,63,1,6.2
48,Bilibino,RU,2020-08-23 03:37:53,68.05,166.44,41.5,89,100,2.68
49,Russkaya Polyana,UA,2020-08-23 03:37:53,49.42,31.92,60.55,71,0,3.98
50,Khipro,PK,2020-08-23 03:37:54,25.83,69.38,96.1,49,99,4.83
51,Dalvik,IS,2020-08-23 03:37:54,65.97,-18.53,44.6,93,87,1.72
52,Georgetown,MY,2020-08-23 03:37:54,5.41,100.34,87.8,70,20,8.05
53,Annau,TM,2020-08-23 03:37:54,37.89,58.52,80.6,61,20,4.7
54,Beira,MZ,2020-08-23 03:37:55,-19.84,34.84,64.4,93,24,4.7
55,Cape Town,ZA,2020-08-23 03:34:47,-33.93,18.42,46.0,93,21,5.82
56,Salalah,OM,2020-08-23 03:37:55,17.02,54.09,75.2,100,90,4.7
57,Lata,PT,2020-08-23 03:37:55,40.16,-8.33,64.99,93,1,1.99
58,Namtsy,RU,2020-08-23 03:37:56,62.72,129.67,59.0,38,6,4.47
59,Ormara,PK,2020-08-23 03:37:56,25.21,64.64,84.36,82,99,11.12
60,Port Lincoln,AU,2020-08-23 03:37:56,-34.73,135.87,55.4,51,32,9.8
61,Puerto Ayora,EC,2020-08-23 03:37:56,-0.74,-90.35,64.99,95,77,5.99
62,Chabahar,IR,2020-08-23 03:37:57,25.29,60.64,82.4,83,75,8.93
63,Inhambane,MZ,2020-08-23 03:37:57,-23.86,35.38,61.07,79,0,0.96
64,Chaihe,CN,2020-08-23 03:37:57,44.77,129.7,79.34,49,100,5.23
65,Coxim,BR,2020-08-23 03:33:06,-18.51,-54.76,66.4,33,86,8.03
66,Hovorany,CZ,2020-08-23 03:37:57,48.95,16.99,66.0,95,100,5.41
67,Pasighat,IN,2020-08-23 03:37:58,28.07,95.33,88.56,60,67,4.0
68,Rabo De Peixe,PT,2020-08-23 03:37:58,37.8,-25.58,68.0,88,20,4.47
69,Swan Hill,AU,2020-08-23 03:37:15,-35.34,143.55,52.72,55,50,15.59
70,Bodden Town,KY,2020-08-23 03:37:59,19.28,-81.25,82.99,78,76,3.0
71,Husavik,IS,2020-08-23 03:37:59,66.04,-17.34,44.6,93,75,1.43
72,Peno,RU,2020-08-23 03:37:59,56.93,32.74,56.88,82,89,9.6
73,Lavrentiya,RU,2020-08-23 03:37:59,65.58,-171.0,47.1,94,100,6.55
74,Khatanga,RU,2020-08-23 03:38:00,71.97,102.5,63.84,47,3,9.44
75,San Patricio,MX,2020-08-23 03:38:00,19.22,-104.7,80.08,88,56,2.06
76,Minot,US,2020-08-23 03:37:15,48.23,-101.3,75.2,53,1,8.05
77,Dali,CN,2020-08-23 03:38:00,25.7,100.18,74.34,61,39,3.87
78,Mazatlan,MX,2020-08-23 03:38:01,23.22,-106.42,87.01,79,90,11.41
79,Upernavik,GL,2020-08-23 03:38:01,72.79,-56.15,44.31,70,81,4.47
80,Tiarei,PF,2020-08-23 03:38:01,-17.53,-149.33,80.6,61,40,3.36
81,Sydney,AU,2020-08-23 03:36:45,-33.87,151.21,63.0,31,0,25.28
82,Calvinia,ZA,2020-08-23 03:38:02,-31.47,19.78,51.06,38,0,6.17
83,Cidreira,BR,2020-08-23 03:38:02,-30.18,-50.21,54.07,78,0,7.72
84,Biak,ID,2020-08-23 03:38:03,-0.91,122.88,83.5,59,5,8.9
85,Jamestown,US,2020-08-23 03:38:03,42.1,-79.24,66.2,82,1,2.66
86,San Cristobal,VE,2020-08-23 03:37:16,7.77,-72.22,65.8,89,86,3.83
